arquitectura,fase,semilla,archivo,modelo_evaluado,tarea,peaton,n_episodios,n_objetivos,repeticiones,columnas,resultados,estado,decision_inclusion,motivo
STH-WP,stage4v2,123,inferencia_sthwp/resultados/infer_run002_s123_stage4v2.csv,"stage4v2_s123_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida en el mismo episodio,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,colision_exit;exito,completo,incluido,"Se prioriza 4v2 frente a Fase 4 clasica (infer_run002_s524_stage4.csv, EXCLUIDA)."
STH-WP,stage4v2,524,inferencia_sthwp/resultados/infer_run002_s524_stage4v2.csv,"stage4v2_s524_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida en el mismo episodio,False,2800,28,100,episodio;goal_id;tipo_episodio;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"Se prioriza 4v2 frente a Fase 4 clasica (infer_run002_s524_stage4.csv, EXCLUIDA)."
STH-WP,stage5,42,inferencia_sthwp/resultados/infer_run002_s42_stage5.csv,"stage5_s42_final (o equivalente, ver observaciones de fase)",retorno puro (zona de descarga -> zona de espera),False,300,no aplica,no aplica,episodio;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
STH-WP,stage5,123,inferencia_sthwp/resultados/infer_run002_s123_stage5.csv,"stage5_s123_final (o equivalente, ver observaciones de fase)",retorno puro (zona de descarga -> zona de espera),False,300,no aplica,no aplica,episodio;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
STH-WP,stage5,524,inferencia_sthwp/resultados/infer_run002_s524_stage5.csv,"stage5_s524_final (o equivalente, ver observaciones de fase)",retorno puro (zona de descarga -> zona de espera),False,300,no aplica,no aplica,episodio;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
STH-WP,stage6,42,inferencia_sthwp/resultados/infer_run003_s42_stage6.csv,"stage6_s42_final (o equivalente, ver observaciones de fase)","ciclo completo approach+exit+return en un unico episodio, sin peaton",False,2800,28,100,episodio;goal_id;resultado;pasos_total;reward_total;llego_estanteria;llego_descarga,exito,completo,incluido,"Verificado en el script (infer_run003_s{seed}_stage6.py): carga 'run003_s{seed}_stage6_final' -- EL MODELO REAL DE FASE 6. Existe tambien 'infer_run002_s{seed}_ciclo_completo.csv', que NO es Fase 6: ese script encadena DOS modelos distintos (stage4v2_final + stage5_final) en un mismo episodio simulado, no evalua la politica unica de Fase 6. Se EXCLUYE explicitamente de este notebook para no confundir 'ciclo completo' compuesto con la Fase 6 real, tal y como exige el encargo."
STH-WP,stage6,123,inferencia_sthwp/resultados/infer_run003_s123_stage6.csv,"stage6_s123_final (o equivalente, ver observaciones de fase)","ciclo completo approach+exit+return en un unico episodio, sin peaton",False,2800,28,100,episodio;goal_id;resultado;pasos_total;reward_total;llego_estanteria;llego_descarga,exito,completo,incluido,"Verificado en el script (infer_run003_s{seed}_stage6.py): carga 'run003_s{seed}_stage6_final' -- EL MODELO REAL DE FASE 6. Existe tambien 'infer_run002_s{seed}_ciclo_completo.csv', que NO es Fase 6: ese script encadena DOS modelos distintos (stage4v2_final + stage5_final) en un mismo episodio simulado, no evalua la politica unica de Fase 6. Se EXCLUYE explicitamente de este notebook para no confundir 'ciclo completo' compuesto con la Fase 6 real, tal y como exige el encargo."
STH-WP,stage6,524,inferencia_sthwp/resultados/infer_run003_s524_stage6.csv,"stage6_s524_final (o equivalente, ver observaciones de fase)","ciclo completo approach+exit+return en un unico episodio, sin peaton",False,2800,28,100,episodio;goal_id;resultado;pasos_total;reward_total;llego_estanteria;llego_descarga,col_exit;exito,completo,incluido,"Verificado en el script (infer_run003_s{seed}_stage6.py): carga 'run003_s{seed}_stage6_final' -- EL MODELO REAL DE FASE 6. Existe tambien 'infer_run002_s{seed}_ciclo_completo.csv', que NO es Fase 6: ese script encadena DOS modelos distintos (stage4v2_final + stage5_final) en un mismo episodio simulado, no evalua la politica unica de Fase 6. Se EXCLUYE explicitamente de este notebook para no confundir 'ciclo completo' compuesto con la Fase 6 real, tal y como exige el encargo."
STH-WP,sthwp_e2_1,42,experimentos/resultados/sthwp_infer_e2_1_s42.csv,"sthwp_e2_1_s42_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_1_s{seed}_final (verificado por convencion de nombre de script y MODEL_PATH).
STH-WP,sthwp_e2_1,123,experimentos/resultados/sthwp_infer_e2_1_s123.csv,"sthwp_e2_1_s123_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_1_s{seed}_final (verificado por convencion de nombre de script y MODEL_PATH).
STH-WP,sthwp_e2_1,524,experimentos/resultados/sthwp_infer_e2_1_s524.csv,"sthwp_e2_1_s524_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_1_s{seed}_final (verificado por convencion de nombre de script y MODEL_PATH).
STH-WP,sthwp_e2_1_noped,42,experimentos/resultados/sthwp_infer_e2_1_noped_s42.csv,"sthwp_e2_1_noped_s42_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,"Es el MISMO checkpoint E2.1 evaluado sin peaton (condicion de control), no debe confundirse con la Fase 6 (que es un modelo entrenado especificamente sin peaton)."
STH-WP,sthwp_e2_1_noped,123,experimentos/resultados/sthwp_infer_e2_1_noped_s123.csv,"sthwp_e2_1_noped_s123_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,"Es el MISMO checkpoint E2.1 evaluado sin peaton (condicion de control), no debe confundirse con la Fase 6 (que es un modelo entrenado especificamente sin peaton)."
STH-WP,sthwp_e2_1_noped,524,experimentos/resultados/sthwp_infer_e2_1_noped_s524.csv,"sthwp_e2_1_noped_s524_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,0,0,no aplica,episodio;goal_id;resultado;pasos;reward,,completo,incluido,"Es el MISMO checkpoint E2.1 evaluado sin peaton (condicion de control), no debe confundirse con la Fase 6 (que es un modelo entrenado especificamente sin peaton)."
STH-WP,sthwp_e2_2,42,experimentos/resultados/sthwp_infer_e2_2_s42.csv,"sthwp_e2_2_s42_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2_s{seed}_final.
STH-WP,sthwp_e2_2,123,experimentos/resultados/sthwp_infer_e2_2_s123.csv,"sthwp_e2_2_s123_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2_s{seed}_final.
STH-WP,sthwp_e2_2,524,experimentos/resultados/sthwp_infer_e2_2_s524.csv,"sthwp_e2_2_s524_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2_s{seed}_final.
STH-WP,sthwp_e2_2b,42,experimentos/resultados/sthwp_infer_e2_2b_s42.csv,"sthwp_e2_2b_s42_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [2.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2b_s{seed}_final.
STH-WP,sthwp_e2_2b,123,experimentos/resultados/sthwp_infer_e2_2b_s123.csv,"sthwp_e2_2b_s123_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [2.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2b_s{seed}_final.
STH-WP,sthwp_e2_2b,524,experimentos/resultados/sthwp_infer_e2_2b_s524.csv,"sthwp_e2_2b_s524_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [2.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: sthwp_e2_2b_s{seed}_final.
SUB-WP,stage1,42,inferencia_subwp/resultados/infer_subwp_s42_stage1.csv,"stage1_s42_final (o equivalente, ver observaciones de fase)",aproximacion simple a un unico goal,False,100,1,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage1,123,inferencia_subwp/resultados/infer_subwp_s123_stage1.csv,"stage1_s123_final (o equivalente, ver observaciones de fase)",aproximacion simple a un unico goal,False,100,1,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage1,524,inferencia_subwp/resultados/infer_subwp_s524_stage1.csv,"stage1_s524_final (o equivalente, ver observaciones de fase)",aproximacion simple a un unico goal,False,100,1,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage2,42,inferencia_subwp/resultados/infer_subwp_s42_stage2.csv,"stage2_s42_final (o equivalente, ver observaciones de fase)",aproximacion generalizada a 28 goals,False,2800,28,100,episodio;goal_id;resultado;pasos;reward;heading_rad,exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage2,123,inferencia_subwp/resultados/infer_subwp_s123_stage2.csv,"stage2_s123_final (o equivalente, ver observaciones de fase)",aproximacion generalizada a 28 goals,False,2800,28,100,episodio;goal_id;resultado;pasos;reward,colision;exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage2,524,inferencia_subwp/resultados/infer_subwp_s524_stage2.csv,"stage2_s524_final (o equivalente, ver observaciones de fase)",aproximacion generalizada a 28 goals,False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,Las tres semillas disponibles.
SUB-WP,stage3_r2,42,inferencia_subwp/resultados/infer_subwp_s42_wp75_r2_stage3.csv,"stage3_r2_s42_final (o equivalente, ver observaciones de fase)",salida (exit) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward,colision;exito;truncado,completo,incluido,"Se prioriza wp75_r2 frente a las variantes 'wp75_stage3' (pre-r2) y 'stage3' (mas antigua aun), ambas EXCLUIDAS por evaluar un modelo con la zona de descarga mal definida."
SUB-WP,stage3_r2,123,inferencia_subwp/resultados/infer_subwp_s123_wp75_r2_stage3.csv,"stage3_r2_s123_final (o equivalente, ver observaciones de fase)",salida (exit) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward,colision;exito,completo,incluido,"Se prioriza wp75_r2 frente a las variantes 'wp75_stage3' (pre-r2) y 'stage3' (mas antigua aun), ambas EXCLUIDAS por evaluar un modelo con la zona de descarga mal definida."
SUB-WP,stage3_r2,524,inferencia_subwp/resultados/infer_subwp_s524_wp75_r2_stage3.csv,"stage3_r2_s524_final (o equivalente, ver observaciones de fase)",salida (exit) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward,colision;exito,completo,incluido,"Se prioriza wp75_r2 frente a las variantes 'wp75_stage3' (pre-r2) y 'stage3' (mas antigua aun), ambas EXCLUIDAS por evaluar un modelo con la zona de descarga mal definida."
SUB-WP,stage4_r2,42,inferencia_subwp/resultados/infer_subwp_s42_wp75_r2_stage4.csv,"stage4_r2_s42_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida (70/30) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,stage4_r2,123,inferencia_subwp/resultados/infer_subwp_s123_wp75_r2_stage4.csv,"stage4_r2_s123_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida (70/30) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,stage4_r2,524,inferencia_subwp/resultados/infer_subwp_s524_wp75_r2_stage4.csv,"stage4_r2_s524_final (o equivalente, ver observaciones de fase)",ciclo aproximacion+salida (70/30) con zona de descarga corregida,False,2800,28,100,episodio;goal_id;resultado;pasos;reward;llego_estanteria,exito,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,stage5_r2,42,inferencia_subwp/resultados/infer_subwp_s42_wp75_r2_stage5.csv,"stage5_r2_s42_final (o equivalente, ver observaciones de fase)",retorno puro con zona de descarga corregida,False,300,no aplica,no aplica,episodio;resultado;pasos;reward,exito,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,stage5_r2,123,inferencia_subwp/resultados/infer_subwp_s123_wp75_r2_stage5.csv,"stage5_r2_s123_final (o equivalente, ver observaciones de fase)",retorno puro con zona de descarga corregida,False,300,no aplica,no aplica,episodio;resultado;pasos;reward,colision;truncado,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,stage5_r2,524,inferencia_subwp/resultados/infer_subwp_s524_wp75_r2_stage5.csv,"stage5_r2_s524_final (o equivalente, ver observaciones de fase)",retorno puro con zona de descarga corregida,False,0,no aplica,no aplica,episodio;resultado;pasos;reward,,completo,incluido,"Se prioriza wp75_r2 frente a variantes pre-r2, EXCLUIDAS."
SUB-WP,e2_0,42,no disponible,no disponible,"ciclo completo approach+exit+return, sin peaton",False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"NO EXISTE una inferencia especifica del checkpoint E2.0 en el repositorio. El unico CSV con nombre 'ciclo' (infer_subwp_s{seed}_wp75_ciclo.csv) evalua un modelo PRE-r2 ('subwp_s{seed}_wp75_stage5_final', SIN el sufijo r2), no el checkpoint E2.0 -- se EXCLUYE por corresponder a una version anterior a la correccion r2. Tampoco se debe sustituir E2.0 por la inferencia de E2.1 sin peaton ('subwp_infer_e2_1_noped_*.csv'): esa evalua el checkpoint E2.1 (entrenado CON peaton) en un mundo sin peaton, no el checkpoint E2.0 (entrenado especificamente SIN peaton). Esta fase queda registrada como AUSENTE, de forma visible, en el manifiesto de inferencia; no se inventa un valor ni se copia el de otra fase."
SUB-WP,e2_0,123,no disponible,no disponible,"ciclo completo approach+exit+return, sin peaton",False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"NO EXISTE una inferencia especifica del checkpoint E2.0 en el repositorio. El unico CSV con nombre 'ciclo' (infer_subwp_s{seed}_wp75_ciclo.csv) evalua un modelo PRE-r2 ('subwp_s{seed}_wp75_stage5_final', SIN el sufijo r2), no el checkpoint E2.0 -- se EXCLUYE por corresponder a una version anterior a la correccion r2. Tampoco se debe sustituir E2.0 por la inferencia de E2.1 sin peaton ('subwp_infer_e2_1_noped_*.csv'): esa evalua el checkpoint E2.1 (entrenado CON peaton) en un mundo sin peaton, no el checkpoint E2.0 (entrenado especificamente SIN peaton). Esta fase queda registrada como AUSENTE, de forma visible, en el manifiesto de inferencia; no se inventa un valor ni se copia el de otra fase."
SUB-WP,e2_0,524,no disponible,no disponible,"ciclo completo approach+exit+return, sin peaton",False,no disponible,no disponible,no disponible,no disponible,no disponible,ausente,excluido,"NO EXISTE una inferencia especifica del checkpoint E2.0 en el repositorio. El unico CSV con nombre 'ciclo' (infer_subwp_s{seed}_wp75_ciclo.csv) evalua un modelo PRE-r2 ('subwp_s{seed}_wp75_stage5_final', SIN el sufijo r2), no el checkpoint E2.0 -- se EXCLUYE por corresponder a una version anterior a la correccion r2. Tampoco se debe sustituir E2.0 por la inferencia de E2.1 sin peaton ('subwp_infer_e2_1_noped_*.csv'): esa evalua el checkpoint E2.1 (entrenado CON peaton) en un mundo sin peaton, no el checkpoint E2.0 (entrenado especificamente SIN peaton). Esta fase queda registrada como AUSENTE, de forma visible, en el manifiesto de inferencia; no se inventa un valor ni se copia el de otra fase."
SUB-WP,subwp_e2_1,42,experimentos/resultados/subwp_infer_e2_1_s42.csv,"subwp_e2_1_s42_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_1_s{seed}_final.
SUB-WP,subwp_e2_1,123,experimentos/resultados/subwp_infer_e2_1_s123.csv,"subwp_e2_1_s123_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_1_s{seed}_final.
SUB-WP,subwp_e2_1,524,experimentos/resultados/subwp_infer_e2_1_s524.csv,"subwp_e2_1_s524_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton dinamico, observacion LIDAR realista",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_1_s{seed}_final.
SUB-WP,subwp_e2_1_noped,42,experimentos/resultados/subwp_infer_e2_1_noped_s42.csv,"subwp_e2_1_noped_s42_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,"Mismo checkpoint E2.1, condicion de control sin peaton. No sustituye a E2.0 (ver arriba)."
SUB-WP,subwp_e2_1_noped,123,experimentos/resultados/subwp_infer_e2_1_noped_s123.csv,"subwp_e2_1_noped_s123_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,"Mismo checkpoint E2.1, condicion de control sin peaton. No sustituye a E2.0 (ver arriba)."
SUB-WP,subwp_e2_1_noped,524,experimentos/resultados/subwp_infer_e2_1_noped_s524.csv,"subwp_e2_1_noped_s524_final (o equivalente, ver observaciones de fase)","ciclo completo, MISMO modelo E2.1 pero evaluado en un mundo sin peaton (control)",False,2800,28,100,episodio;goal_id;resultado;pasos;reward,exito,completo,incluido,"Mismo checkpoint E2.1, condicion de control sin peaton. No sustituye a E2.0 (ver arriba)."
SUB-WP,subwp_e2_2,42,experimentos/resultados/subwp_infer_e2_2_s42.csv,"subwp_e2_2_s42_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_2_s{seed}_final.
SUB-WP,subwp_e2_2,123,experimentos/resultados/subwp_infer_e2_2_s123.csv,"subwp_e2_2_s123_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_2_s{seed}_final.
SUB-WP,subwp_e2_2,524,experimentos/resultados/subwp_infer_e2_2_s524.csv,"subwp_e2_2_s524_final (o equivalente, ver observaciones de fase)","ciclo completo con peaton + replanning LIDAR [1.5,4.5]m",True,2800,28,100,episodio;goal_id;resultado;pasos;reward,col_approach;col_exit;exito,completo,incluido,Modelo evaluado: subwp_e2_2_s{seed}_final.
